scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,24089,24089,15533,50730400,26031100,605000,5301800,5906800,0.240890000
throughput,1,1,27157,27157,16488,46434600,26408500,809900,6719600,7529500,0.271570000
throughput,1,2,25010,25010,15439,49620700,25601400,729400,5278000,6007400,0.250100000
throughput,1,3,23744,23744,15376,50319400,25160200,738100,5544400,6282500,0.237440000
throughput,2,0,26795,26795,15317,48797600,24562000,704400,5879100,6583500,0.267950000
throughput,2,1,24435,24435,14286,48091300,23610900,1043000,5495600,6538600,0.244350000
throughput,2,2,23525,23525,14316,48699200,24645700,672000,5943600,6615600,0.235250000
throughput,2,3,25245,25245,15325,45373900,26002800,611000,5412300,6023300,0.252450000
throughput,3,0,25823,25823,16105,50659700,24660500,762600,5830100,6592700,0.258230000
throughput,3,1,24425,24425,16405,50627200,24718000,800600,6238700,7039300,0.244250000
throughput,3,2,22969,22969,16054,51784000,23621300,571200,5802100,6373300,0.229690000
throughput,3,3,26783,26783,17133,48763500,25110200,686900,6304500,6991400,0.267830000
throughput,4,0,25147,25147,15441,47133000,25938300,646300,6116900,6763200,0.251470000
throughput,4,1,26127,26127,15976,46027900,25586000,635200,6238900,6874100,0.261270000
throughput,4,2,24146,24146,15618,47603800,25328200,695600,6221500,6917100,0.241460000
throughput,4,3,24580,24580,15064,47900800,24730000,722200,5730700,6452900,0.245800000
throughput,5,0,26558,26558,16029,46760900,26846900,640200,5439300,6079500,0.265580000
throughput,5,1,20976,20976,12715,54435400,22532300,665500,4285200,4950700,0.209760000
throughput,5,2,25303,25303,14101,48904800,24925800,701300,5252800,5954100,0.253030000
throughput,5,3,27163,27163,15887,45837000,28186600,672900,5401200,6074100,0.271630000
