scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,153577200,100,5713200,2400,11900
throughput,1,1,25000,25000,0,157172800,100,5027600,2500,12000
throughput,1,2,25000,25000,0,156379400,100,4004500,2400,12300
throughput,1,3,25000,25000,0,153287700,100,6959200,2600,12000
throughput,2,0,25000,25000,0,153448100,100,10404900,2500,14200
throughput,2,1,25000,25000,0,153916000,100,6296100,2300,12700
throughput,2,2,25000,25000,0,145852600,100,3298200,2300,12400
throughput,2,3,25000,25000,0,152277100,100,3802000,2300,13800
throughput,3,0,25000,25000,0,105044000,100,4684500,1800,9300
throughput,3,1,25000,25000,0,117483600,100,8122800,1300,6800
throughput,3,2,25000,25000,0,95095300,100,3550300,1900,8800
throughput,3,3,25000,25000,0,90920000,100,5112500,1700,8400
throughput,4,0,25000,25000,0,107367400,100,5541500,2000,8700
throughput,4,1,25000,25000,0,107247400,100,3375900,1900,9200
throughput,4,2,25000,25000,0,112883000,100,10155200,1700,8200
throughput,4,3,25000,25000,0,115567000,100,7407300,1800,8500
throughput,5,0,25000,25000,0,95386200,100,8101000,1700,7900
throughput,5,1,25000,25000,0,103670100,100,3924900,1300,8300
throughput,5,2,25000,25000,0,106524300,100,9100000,1600,8400
throughput,5,3,25000,25000,0,95373500,100,3625600,1800,8200
