scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,23902,23902,3435,29853400,59368000,1122200,6030600,7152800,0.239020000
throughput,1,1,24424,24424,2869,23458400,61874300,5861900,4368200,10230100,0.244240000
throughput,1,2,25572,25572,2834,32229500,48767600,1258500,5129200,6387700,0.255720000
throughput,1,3,26102,26102,3096,26353700,62294800,1157600,4694400,5852000,0.261020000
throughput,2,0,28681,28681,6104,33711900,50104000,1360800,5124800,6485600,0.286810000
throughput,2,1,19090,19090,4643,42674800,43014700,920500,4959800,5880300,0.190900000
throughput,2,2,21914,21914,4399,39077900,47394700,1006500,5786100,6792600,0.219140000
throughput,2,3,30315,30315,5421,37696000,44352400,1253900,5290300,6544200,0.303150000
throughput,3,0,31453,31453,3813,14865300,53439900,1460400,6168500,7628900,0.314530000
throughput,3,1,20485,20485,2676,19236100,54224500,1010100,5678200,6688300,0.204850000
throughput,3,2,19832,19832,2829,26127000,48655000,953300,5146900,6100200,0.198320000
throughput,3,3,28230,28230,3702,19135000,50076900,1213900,6359000,7572900,0.282300000
throughput,4,0,25247,25247,4374,20041700,65945500,1096700,7800700,8897400,0.252470000
throughput,4,1,22109,22109,3865,25520300,64894400,1098200,4269700,5367900,0.221090000
throughput,4,2,22910,22910,3745,22649000,65179500,1092000,4900300,5992300,0.229100000
throughput,4,3,29734,29734,4890,22703600,58542800,1323600,6376700,7700300,0.297340000
throughput,5,0,30645,30645,5643,29802400,54378900,1304200,5891100,7195300,0.306450000
throughput,5,1,20487,20487,3988,45158700,44897200,1159900,4060300,5220200,0.204870000
throughput,5,2,18938,18938,4285,34456900,54933300,1487000,5584500,7071500,0.189380000
throughput,5,3,29930,29930,5988,28475500,52707700,3817800,6093700,9911500,0.299300000
