timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,enqueue_lock_attempts,enqueue_lock_wait_ns,enqueue_lock_max_wait_ns,enqueue_inferred_contended,dequeue_lock_attempts,dequeue_lock_wait_ns,dequeue_lock_max_wait_ns,dequeue_inferred_contended,enqueue_wait_count,enqueue_wait_total_ns,enqueue_wait_max_ns,dequeue_wait_count,dequeue_wait_total_ns,dequeue_wait_max_ns,queue_full_observations,queue_empty_observations,not_empty_signals,not_full_signals,shutdown_broadcasts,enqueue_predicate_false_wakeups,dequeue_predicate_false_wakeups,occupancy_sample_count,occupancy_event_mean,occupancy_min,occupancy_max,occupancy_zero_observations,occupancy_full_observations,callback_compute_total_ns,callback_accounting_total_ns,callback_combined_total_ns,worker_task_cv,zero_task_workers,accounting_mode,correctness_passed
2026-07-28T21:14:41.548Z,throughput,noop,validated,1,8,4,64,100000,100000,100000,0,120256400,66700,262100,120585400,829287.791059,4349.256,1900,8900,100,8451200,14468.090,4700,61200,100000,308192100,5434200,53527,100008,359287700,4853400,54910,2436,16548200,2926300,40000,486536700,7686500,2436,40000,100000,100000,2,386,9957,200000,9.835160,0,64,42663,3439,2678800,41833800,44512600,0.108284219,0,standard,true
2026-07-28T21:14:41.667Z,throughput,noop,validated,2,8,4,64,100000,100000,100000,0,101355100,59700,295500,101710300,983184.593891,3829.697,1500,7500,100,19905000,12749.584,3900,53200,100000,227251800,2103700,46581,100008,288392100,3422300,48887,3388,16260500,1393700,42361,393445700,6015700,3388,42361,100000,100000,2,647,10436,200000,10.802640,0,64,45392,3978,3763000,32585700,36348700,0.152704106,0,standard,true
2026-07-28T21:14:41.805Z,throughput,noop,validated,3,8,4,64,100000,100000,100000,0,113196300,56900,254600,113507800,880996.724454,4331.096,2000,9300,100,5889400,18968.021,6100,65400,100000,326189400,3631200,58982,100008,357563200,4601500,55381,3003,21605200,2420200,34801,431455400,6430700,3003,34801,100000,100000,2,509,8253,200000,14.723700,0,64,36784,3762,3425600,34260500,37686100,0.196842162,0,standard,true
2026-07-28T21:14:41.947Z,throughput,noop,validated,4,8,4,64,100000,100000,100000,0,115268300,187500,110900,115566900,865299.666254,3790.801,1700,8400,100,7406100,12960.242,4300,52900,100000,262861000,2356000,54034,100008,343141400,4594800,54488,1226,23664400,5276600,44356,415185000,9166300,1226,44356,100000,100000,2,216,11026,200000,8.760180,0,64,47336,1534,3176200,27974500,31150700,0.165840777,0,standard,true
2026-07-28T21:14:42.083Z,throughput,noop,validated,5,8,4,64,100000,100000,100000,0,115738100,256400,24300,116019000,861927.787690,4336.765,2000,9100,100,8648200,14759.735,5100,64100,100000,317606800,2137600,60615,100008,357672500,3074200,55182,2513,25673300,3382900,40593,464685400,7482500,2513,40593,100000,100000,2,467,9686,200000,10.358700,0,64,42525,3403,2975400,31668700,34644100,0.128159881,0,standard,true
