scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,49338,49338,230,1678400,60080700,2042200,7381200,9423400,0.493380000
throughput,1,1,50662,50662,195,1501000,59576100,2273900,7713000,9986900,0.506620000
throughput,2,0,47574,47574,249,2788900,57814700,1964200,7036600,9000800,0.475740000
throughput,2,1,52426,52426,231,2221000,55751600,2116100,7237100,9353200,0.524260000
throughput,3,0,49676,49676,417,965800,59891000,1977400,7002100,8979500,0.496760000
throughput,3,1,50324,50324,673,1313300,60095200,2056400,6810700,8867100,0.503240000
throughput,4,0,53600,53600,561,3762700,59024600,2475000,9788000,12263000,0.536000000
throughput,4,1,46400,46400,593,3228900,60383500,2329000,9437900,11766900,0.464000000
throughput,5,0,47110,47110,300,4904600,51039100,1816900,7588000,9404900,0.471100000
throughput,5,1,52890,52890,240,2074500,52299000,2101200,7204200,9305400,0.528900000
