scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,79810000,100,2781700,1700,8000
throughput,1,1,25000,25000,0,83407900,100,3076500,1700,8000
throughput,1,2,25000,25000,0,82993600,100,2504100,1700,8300
throughput,1,3,25000,25000,0,75606000,100,4743400,1600,7900
throughput,2,0,25000,25000,0,134285700,100,2161300,2700,14300
throughput,2,1,25000,25000,0,136791300,100,6940500,2500,13900
throughput,2,2,25000,25000,0,136536800,100,2168400,2800,15000
throughput,2,3,25000,25000,0,129631400,200,2023300,2900,13900
throughput,3,0,25000,25000,0,146385400,100,2287600,2800,15000
throughput,3,1,25000,25000,0,152430200,100,3349600,2500,14900
throughput,3,2,25000,25000,0,151171200,100,2762200,2700,14700
throughput,3,3,25000,25000,0,149627800,100,3756900,2700,15000
throughput,4,0,25000,25000,0,83927300,100,2751000,1800,8600
throughput,4,1,25000,25000,0,94382600,100,2080700,1600,8200
throughput,4,2,25000,25000,0,95170300,100,3615900,1700,8100
throughput,4,3,25000,25000,0,84246400,100,1778100,1800,8500
throughput,5,0,25000,25000,0,81414200,100,1774500,1300,7200
throughput,5,1,25000,25000,0,95598600,100,3179900,1600,7200
throughput,5,2,25000,25000,0,95242900,100,4262400,1500,6900
throughput,5,3,25000,25000,0,88985100,100,2373100,1500,7200
