scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,68871800,100,2537100,1100,6900
throughput,1,1,25000,25000,0,93483900,100,6728200,1200,7200
throughput,1,2,25000,25000,0,91355900,100,3776700,1300,8500
throughput,1,3,25000,25000,0,77799400,100,1906600,1200,7400
throughput,2,0,25000,25000,0,76792500,100,6818200,1000,5800
throughput,2,1,25000,25000,0,108118100,100,7000900,1100,5500
throughput,2,2,25000,25000,0,109795400,100,7906000,1200,5700
throughput,2,3,25000,25000,0,86372900,100,4571900,900,6100
throughput,3,0,25000,25000,0,76632400,100,2376500,1300,7600
throughput,3,1,25000,25000,0,89730300,100,2518300,1500,8000
throughput,3,2,25000,25000,0,93372300,100,4422700,1300,8100
throughput,3,3,25000,25000,0,80605900,100,1367500,1400,7900
throughput,4,0,25000,25000,0,85808200,100,5406000,800,6900
throughput,4,1,25000,25000,0,91483100,100,4677100,1300,7200
throughput,4,2,25000,25000,0,94753500,100,5657800,1200,7400
throughput,4,3,25000,25000,0,82369600,100,2774500,1100,6700
throughput,5,0,25000,25000,0,80672000,100,1298900,1300,7900
throughput,5,1,25000,25000,0,93130700,100,3269300,1400,8100
throughput,5,2,25000,25000,0,90071700,100,2935600,1500,8000
throughput,5,3,25000,25000,0,77538200,100,1429800,1400,7900
