scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,100000,100000,6,957000,11478500,43688400,6871700,50560100,1.000000000
throughput,2,0,100000,100000,16,12339800,15054500,44618900,7046900,51665800,1.000000000
throughput,3,0,100000,100000,10,1206900,19076200,54083000,8004400,62087400,1.000000000
throughput,4,0,100000,100000,11,2156100,12812700,47077100,7311500,54388600,1.000000000
throughput,5,0,100000,100000,3,543800,14324700,43224300,6679500,49903800,1.000000000
