timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,enqueue_lock_attempts,enqueue_lock_wait_ns,enqueue_lock_max_wait_ns,enqueue_inferred_contended,dequeue_lock_attempts,dequeue_lock_wait_ns,dequeue_lock_max_wait_ns,dequeue_inferred_contended,enqueue_wait_count,enqueue_wait_total_ns,enqueue_wait_max_ns,dequeue_wait_count,dequeue_wait_total_ns,dequeue_wait_max_ns,queue_full_observations,queue_empty_observations,not_empty_signals,not_full_signals,shutdown_broadcasts,enqueue_predicate_false_wakeups,dequeue_predicate_false_wakeups,occupancy_sample_count,occupancy_event_mean,occupancy_min,occupancy_max,occupancy_zero_observations,occupancy_full_observations,callback_compute_total_ns,callback_accounting_total_ns,callback_combined_total_ns,worker_task_cv,zero_task_workers,accounting_mode,correctness_passed
2026-07-28T21:14:51.366Z,throughput,noop,validated,1,4,4,1,100000,100000,100000,0,484677400,31400,187200,484896100,206229.746950,18778.034,1600,99200,100,5117400,21297.321,2200,112000,100000,92187100,5112200,20430,100004,96321400,2063000,20484,49830,1704162900,3446100,45142,1734161800,5048800,49830,45142,100000,100000,2,7081,4846,200000,0.500000,0,1,100000,100000,2804200,14995100,17799300,0.142331247,0,standard,true
2026-07-28T21:14:51.887Z,throughput,noop,validated,2,4,4,1,100000,100000,100000,0,496422600,35500,114800,496573100,201380.219750,17957.743,1800,102200,100,4123000,20591.324,2300,115800,100000,114326100,1660700,23297,100004,117495500,2450800,23154,52422,1596532900,3496000,42285,1746994700,4081700,52422,42285,100000,100000,2,7599,4413,200000,0.500000,0,1,100000,100000,3346800,15554800,18901600,0.114825823,0,standard,true
2026-07-28T21:14:52.491Z,throughput,noop,validated,3,4,4,1,100000,100000,100000,0,582096700,171300,54300,582322400,171726.177801,22161.387,1600,115600,100,2630500,25216.835,2100,130700,100000,111935500,2024900,20615,100004,106391400,1833600,19084,45624,2001052800,2422300,42287,2094600000,2358800,45624,42287,100000,100000,2,5794,4788,200000,0.500000,0,1,100000,100000,3578500,18577400,22155900,0.127532581,0,standard,true
2026-07-28T21:14:52.953Z,throughput,noop,validated,4,4,4,1,100000,100000,100000,0,433653600,162100,141500,433957200,230437.471714,16656.482,1500,98400,100,5165900,18972.305,2100,111600,100000,108357100,3365400,21297,100004,100348900,3121100,20778,46550,1476067600,5163800,43538,1521871500,5160200,46550,43538,100000,100000,2,7008,5081,200000,0.500000,0,1,100000,100000,3014000,17636700,20650700,0.046612522,0,standard,true
2026-07-28T21:14:54.030Z,throughput,noop,validated,5,4,4,1,100000,100000,100000,0,1020734000,14400,173100,1020921600,97950.714335,39506.960,3200,298600,100,3504600,44669.162,4400,334300,100000,292241300,2723000,32985,100004,314907900,2457400,35271,46282,3396992700,3348700,43474,3478608800,3429900,46282,43474,100000,100000,2,7063,6085,200000,0.500000,0,1,100000,100000,7219800,42329500,49549300,0.063738648,0,standard,true
