timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,correctness_passed
2026-07-28T20:24:37.856Z,throughput,light_cpu,validated,1,1,4,64,100000,100000,100000,0,76207800,39900,114800,76362500,1309543.296775,2780.671,2400,3300,0,5716800,51588.776,47200,63900,true
2026-07-28T20:24:37.948Z,throughput,light_cpu,validated,2,1,4,64,100000,100000,100000,0,75801900,3500,51600,75857100,1318268.164747,2617.213,1900,3400,0,13777500,50978.233,45300,67100,true
2026-07-28T20:24:38.041Z,throughput,light_cpu,validated,3,1,4,64,100000,100000,100000,0,80102100,3800,72600,80178500,1247217.146741,3021.724,2800,3700,0,5162100,54244.528,50900,70400,true
2026-07-28T20:24:38.132Z,throughput,light_cpu,validated,4,1,4,64,100000,100000,100000,0,83583600,3900,52200,83639700,1195604.479691,3281.359,2900,3600,0,586500,56731.681,50800,94600,true
2026-07-28T20:24:38.237Z,throughput,light_cpu,validated,5,1,4,64,100000,100000,100000,0,87787100,18000,71200,87876400,1137961.955656,3445.770,3100,4100,0,390600,59359.214,56400,77400,true
2026-07-28T20:24:38.364Z,throughput,light_cpu,validated,6,1,4,64,100000,100000,100000,0,112947200,5700,88100,113041200,884633.213377,4349.493,2500,3300,0,20882100,74592.783,47100,70000,true
2026-07-28T20:24:38.472Z,throughput,light_cpu,validated,7,1,4,64,100000,100000,100000,0,93660200,3700,66300,93730200,1066891.994256,3671.717,3000,3800,100,995800,63440.820,54200,119400,true
2026-07-28T20:24:38.562Z,throughput,light_cpu,validated,8,1,4,64,100000,100000,100000,0,76783200,4900,46600,76834700,1301495.287936,2971.455,2800,3400,0,812400,52049.697,49200,64500,true
2026-07-28T20:24:38.657Z,throughput,light_cpu,validated,9,1,4,64,100000,100000,100000,0,81324100,3800,43500,81371600,1228929.995232,3170.626,2500,3600,0,1686100,55155.102,46100,105900,true
2026-07-28T20:24:38.739Z,throughput,light_cpu,validated,10,1,4,64,100000,100000,100000,0,80150900,3700,56700,80211300,1246707.134780,3144.070,2900,3500,0,372400,54507.031,51800,69100,true
