timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,enqueue_lock_attempts,enqueue_lock_wait_ns,enqueue_lock_max_wait_ns,enqueue_inferred_contended,dequeue_lock_attempts,dequeue_lock_wait_ns,dequeue_lock_max_wait_ns,dequeue_inferred_contended,enqueue_wait_count,enqueue_wait_total_ns,enqueue_wait_max_ns,dequeue_wait_count,dequeue_wait_total_ns,dequeue_wait_max_ns,queue_full_observations,queue_empty_observations,not_empty_signals,not_full_signals,shutdown_broadcasts,avoided_not_empty_signals,avoided_not_full_signals,not_empty_signals_per_task,not_full_signals_per_task,total_signals_per_task,enqueue_predicate_false_wakeups,dequeue_predicate_false_wakeups,occupancy_sample_count,occupancy_event_mean,occupancy_min,occupancy_max,occupancy_zero_observations,occupancy_full_observations,callback_compute_total_ns,callback_accounting_total_ns,callback_combined_total_ns,worker_task_cv,zero_task_workers,accounting_mode,correctness_passed
2026-07-28T21:38:49.961Z,throughput,noop,validated,1,4,4,256,100000,100000,100000,0,68676600,9400,85300,68771300,1454094.949492,2688.145,1700,7500,100,1188300,159821.541,167200,217900,100000,185465700,1188000,49131,100004,194344600,986900,51413,16414,43574000,596500,937,4216200,335700,16414,937,2380,42279,2,97620,57721,0.023800000,0.422790000,0.446590000,2360,193,200000,227.620460,0,256,1062,23168,5071800,17943800,23015600,0.036965216,0,standard,true
2026-07-28T21:38:50.047Z,throughput,noop,validated,2,4,4,256,100000,100000,100000,0,65553500,23200,98400,65675100,1522647.091516,2551.962,1600,7100,100,1369500,151112.429,158200,200300,100000,178753400,1368000,47829,100004,179756500,2195500,48958,12699,33722300,702500,975,7131900,1620800,12699,975,5899,34127,2,94101,65873,0.058990000,0.341270000,0.400260000,1813,140,200000,226.914930,0,256,1229,15750,3455000,17988100,21443100,0.085970358,0,standard,true
2026-07-28T21:38:50.126Z,throughput,noop,validated,3,4,4,256,100000,100000,100000,0,64101000,46700,100000,64247700,1556475.951668,2471.378,1500,7000,100,2560200,132975.240,149600,201200,100000,167088600,637000,45144,100004,177939500,1500600,48580,9986,32045800,2558700,2547,9517600,464800,9986,2547,6642,32894,2,93358,67106,0.066420000,0.328940000,0.395360000,1531,446,200000,201.835710,0,256,3425,12609,4753800,12897100,17650900,0.042825871,0,standard,true
2026-07-28T21:38:50.211Z,throughput,noop,validated,4,4,4,256,100000,100000,100000,0,72502800,7700,81200,72591700,1377567.958871,2767.842,1800,7700,0,2699400,51273.965,27100,201000,100000,232322000,828500,59888,100004,212334400,1401600,53230,2646,7926200,508400,5589,17725900,1075700,2646,5589,15282,5346,2,84718,94654,0.152820000,0.053460000,0.206280000,437,967,200000,64.169410,0,256,7438,3383,3590000,12982800,16572800,0.061679410,0,standard,true
2026-07-28T21:38:50.309Z,throughput,noop,validated,5,4,4,256,100000,100000,100000,0,74256400,12000,95200,74363800,1344740.317197,2703.415,1400,7100,100,6552200,116226.489,142800,228600,100000,171692700,2337100,43191,100004,185745000,1770500,47260,10345,36799600,5207600,9668,25474600,1951400,10345,9668,20057,34383,2,79943,65617,0.200570000,0.343830000,0.544400000,1701,1976,200000,149.655510,0,256,12620,12095,8262900,15630400,23893300,0.065576331,0,standard,true
2026-07-28T21:38:50.400Z,throughput,noop,validated,6,4,4,256,100000,100000,100000,0,70732800,19100,105800,70857700,1411279.225829,2725.384,1500,7300,100,3239700,139116.931,157000,223400,100000,187380000,2984200,46703,100004,192387800,2055100,46414,9894,33574100,3210200,3367,17627400,1842600,9894,3367,11913,28478,2,88087,71522,0.119130000,0.284780000,0.403910000,1414,601,200000,193.880760,0,256,4487,12882,4022800,20419000,24441800,0.072797983,0,standard,true
2026-07-28T21:38:50.518Z,throughput,noop,validated,7,4,4,256,100000,100000,100000,0,97625000,31500,118300,97774800,1022758.420370,3721.078,2300,7600,100,8414100,28872.744,5100,166700,100000,210461400,6036700,46987,100004,186525400,2703100,46863,1490,9829000,2061400,25983,110909300,4697300,1490,25983,65815,9542,2,34185,90458,0.658150000,0.095420000,0.753570000,262,4774,200000,32.082960,0,256,31700,2381,6566000,25135600,31701600,0.078874133,0,standard,true
