scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,25093,25093,10836,109575200,46023500,481400,4402800,4884200,0.250930000
throughput,1,1,25467,25467,10488,109607600,46469200,489500,4146900,4636400,0.254670000
throughput,1,2,24335,24335,10061,109331400,45697300,460100,4406600,4866700,0.243350000
throughput,1,3,25105,25105,10954,109038000,46011300,486300,4999500,5485800,0.251050000
throughput,2,0,22698,22698,10976,108839600,44961900,418800,2657600,3076400,0.226980000
throughput,2,1,24564,24564,11456,109908500,43335600,468800,2785400,3254200,0.245640000
throughput,2,2,25848,25848,12063,110008100,42162100,482300,2925200,3407500,0.258480000
throughput,2,3,26890,26890,13230,109776300,42038500,502000,2989000,3491000,0.268900000
throughput,3,0,24542,24542,13913,132944800,45635400,472200,2915300,3387500,0.245420000
throughput,3,1,25775,25775,13933,132102300,45976900,501800,2993200,3495000,0.257750000
throughput,3,2,24216,24216,13390,132713700,46389300,475800,2705500,3181300,0.242160000
throughput,3,3,25467,25467,14289,131830100,46175000,498300,2963900,3462200,0.254670000
throughput,4,0,25160,25160,13499,152771300,45423500,486800,2927400,3414200,0.251600000
throughput,4,1,23878,23878,13020,153569200,45367400,477200,2762200,3239400,0.238780000
throughput,4,2,25781,25781,13667,152513300,45392500,522000,3306300,3828300,0.257810000
throughput,4,3,25181,25181,13648,152061000,44551300,506000,3509700,4015700,0.251810000
throughput,5,0,24286,24286,12500,45427500,51085100,420900,2859600,3280500,0.242860000
throughput,5,1,24675,24675,12827,45749300,50857100,445300,2867100,3312400,0.246750000
throughput,5,2,25427,25427,12723,45554100,50473300,448400,2690400,3138800,0.254270000
throughput,5,3,25612,25612,13346,47620100,48298100,453200,2982500,3435700,0.256120000
throughput,6,0,24849,24849,12956,107732600,40016400,454200,2802200,3256400,0.248490000
throughput,6,1,25088,25088,12686,107036700,40745200,466900,2848800,3315700,0.250880000
throughput,6,2,24923,24923,13032,106963300,40693900,448800,2810100,3258900,0.249230000
throughput,6,3,25140,25140,12364,105167400,42316700,464500,2872000,3336500,0.251400000
throughput,7,0,25012,25012,12090,89569000,41910700,425200,2730600,3155800,0.250120000
throughput,7,1,25935,25935,12217,89527200,41509600,462100,2717800,3179900,0.259350000
throughput,7,2,24108,24108,12718,92234000,39257400,435600,2800900,3236500,0.241080000
throughput,7,3,24945,24945,12375,90842500,40225400,452900,2654600,3107500,0.249450000
