scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,75004100,100,168000,2500,7800
throughput,1,1,25000,25000,0,73370700,100,174400,2500,7600
throughput,1,2,25000,25000,0,75488500,100,195100,2500,7900
throughput,1,3,25000,25000,0,76020400,100,209400,2500,7800
throughput,2,0,25000,25000,0,64958100,100,385400,2300,6200
throughput,2,1,25000,25000,0,68063200,100,269500,2300,6700
throughput,2,2,25000,25000,0,68120700,100,290900,2300,6700
throughput,2,3,25000,25000,0,67330000,100,255800,2300,6700
throughput,3,0,25000,25000,0,66482000,100,610000,2300,6500
throughput,3,1,25000,25000,0,65750200,100,272000,2300,6400
throughput,3,2,25000,25000,0,66168700,100,119200,2300,6900
throughput,3,3,25000,25000,0,62617400,100,125800,2300,6300
throughput,4,0,25000,25000,0,67092600,100,545200,2300,7100
throughput,4,1,25000,25000,0,72480000,100,547400,2400,7900
throughput,4,2,25000,25000,0,72316600,100,546200,2400,7900
throughput,4,3,25000,25000,0,72184200,100,548500,2400,7700
throughput,5,0,25000,25000,0,65370900,100,115500,2100,7200
throughput,5,1,25000,25000,0,69848900,100,162800,2100,8100
throughput,5,2,25000,25000,0,70816000,100,162500,2100,8600
throughput,5,3,25000,25000,0,63886100,100,229500,2100,7000
throughput,6,0,25000,25000,0,65235900,100,253200,2500,5000
throughput,6,1,25000,25000,0,66417800,100,244500,2600,5300
throughput,6,2,25000,25000,0,62448800,100,210400,2500,4900
throughput,6,3,25000,25000,0,66199300,100,253600,2600,5300
throughput,7,0,25000,25000,0,61411300,100,349100,2400,5500
throughput,7,1,25000,25000,0,66784000,100,187300,2400,6400
throughput,7,2,25000,25000,0,66085100,100,282300,2400,6300
throughput,7,3,25000,25000,0,66592300,200,340100,2500,6100
