scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,70502200,100,374700,1900,7900
throughput,1,1,25000,25000,0,71599700,100,457800,1900,7900
throughput,1,2,25000,25000,0,71485600,100,583100,1900,7800
throughput,1,3,25000,25000,0,70835400,100,315200,1900,8000
throughput,2,0,25000,25000,0,75486000,100,5130900,1800,8000
throughput,2,1,25000,25000,0,76180900,100,919100,1900,8500
throughput,2,2,25000,25000,0,77254200,100,3472500,1800,7900
throughput,2,3,25000,25000,0,69498300,100,1676900,1800,7700
throughput,3,0,25000,25000,0,74431000,100,1224500,1900,7800
throughput,3,1,25000,25000,0,76456000,100,1934700,1800,8100
throughput,3,2,25000,25000,0,75430000,100,1727200,1900,7700
throughput,3,3,25000,25000,0,72702000,100,1162900,1900,7700
throughput,4,0,25000,25000,0,77114000,100,1028400,2100,8600
throughput,4,1,25000,25000,0,77418300,100,1034500,2000,8100
throughput,4,2,25000,25000,0,78689200,100,1908500,2000,8000
throughput,4,3,25000,25000,0,79739500,100,2355800,1900,8700
throughput,5,0,25000,25000,0,66409400,100,1678700,1500,7400
throughput,5,1,25000,25000,0,64484200,100,1286700,1600,7500
throughput,5,2,25000,25000,0,64622800,100,488600,1600,7400
throughput,5,3,25000,25000,0,62911100,100,689100,1600,7200
throughput,6,0,25000,25000,0,63362400,100,720500,1700,7400
throughput,6,1,25000,25000,0,65139900,100,629500,1600,7600
throughput,6,2,25000,25000,0,65583900,100,2095900,1600,7500
throughput,6,3,25000,25000,0,62624400,100,311000,1600,7300
throughput,7,0,25000,25000,0,61885900,100,310600,1600,7200
throughput,7,1,25000,25000,0,63458900,100,2490400,1500,6900
throughput,7,2,25000,25000,0,58432300,100,373600,1500,6800
throughput,7,3,25000,25000,0,61673700,100,1806700,1600,6800
