timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,enqueue_lock_attempts,enqueue_lock_wait_ns,enqueue_lock_max_wait_ns,enqueue_inferred_contended,dequeue_lock_attempts,dequeue_lock_wait_ns,dequeue_lock_max_wait_ns,dequeue_inferred_contended,enqueue_wait_count,enqueue_wait_total_ns,enqueue_wait_max_ns,dequeue_wait_count,dequeue_wait_total_ns,dequeue_wait_max_ns,queue_full_observations,queue_empty_observations,not_empty_signals,not_full_signals,shutdown_broadcasts,avoided_not_empty_signals,avoided_not_full_signals,not_empty_signals_per_task,not_full_signals_per_task,total_signals_per_task,enqueue_predicate_false_wakeups,dequeue_predicate_false_wakeups,occupancy_sample_count,occupancy_event_mean,occupancy_min,occupancy_max,occupancy_zero_observations,occupancy_full_observations,callback_compute_total_ns,callback_accounting_total_ns,callback_combined_total_ns,worker_task_cv,zero_task_workers,accounting_mode,correctness_passed
2026-07-28T21:38:27.482Z,throughput,noop,validated,1,2,4,64,100000,100000,100000,0,70030200,4600,56800,70091700,1426702.448364,2618.843,1800,7500,0,357600,41705.823,46200,55200,100000,147113200,184300,43331,100002,90320600,369300,29267,38290,81443500,354600,1245,1975100,289600,38290,1245,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,5978,102,200000,54.443880,0,64,2779,49626,2844400,9472500,12316900,0.095160000,0,standard,true
2026-07-28T21:38:27.566Z,throughput,noop,validated,2,2,4,64,100000,100000,100000,0,73176100,5100,59000,73240200,1365370.384024,2847.382,2100,7500,0,1022600,48263.923,48700,56900,100000,127877900,413600,40444,100002,92723200,431500,31432,54225,121153000,496300,410,971500,218000,54225,410,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,10596,51,200000,61.555420,0,64,686,59508,2715900,8450100,11166000,0.065220000,0,standard,true
2026-07-28T21:38:27.648Z,throughput,noop,validated,3,2,4,64,100000,100000,100000,0,69982900,4200,52200,70039300,1427769.837791,2724.924,2000,7400,100,317200,45927.886,46400,53500,100000,110215500,316600,34519,100002,85187100,77000,29175,61872,125106000,282300,997,1492000,255600,61872,997,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,11420,207,200000,61.319800,0,64,2056,62791,2465500,11222100,13687600,0.091360000,0,standard,true
2026-07-28T21:38:27.748Z,throughput,noop,validated,4,2,4,64,100000,100000,100000,0,76266600,4400,55000,76326000,1310169.535938,2998.674,2300,8000,100,935100,50917.520,51100,59300,100000,130090200,419800,41121,100002,99088500,454400,32643,61993,134052200,797100,66,580500,223200,61993,66,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,13048,10,200000,62.422610,0,64,209,71041,2831600,9517100,12348700,0.068200000,0,standard,true
2026-07-28T21:38:27.831Z,throughput,noop,validated,5,2,4,64,100000,100000,100000,0,67144400,5600,52100,67202100,1488048.736572,2573.846,1800,7200,100,890800,43730.852,44500,52600,100000,118119700,489700,35935,100002,82097000,604700,26092,48238,101968700,497200,888,1655300,309700,48238,888,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,8137,169,200000,60.725020,0,64,1939,58298,2741200,8694500,11435700,0.029680000,0,standard,true
2026-07-28T21:38:27.914Z,throughput,noop,validated,6,2,4,64,100000,100000,100000,0,67341700,5100,52600,67399400,1483692.733170,2525.383,1800,6800,0,577600,40533.569,44900,54000,100000,123065000,124200,38574,100002,82614200,245700,27432,38698,77937400,573800,1726,2027500,234800,38698,1726,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,7093,137,200000,55.216270,0,64,2973,46833,3086100,9724000,12810100,0.066300000,0,standard,true
2026-07-28T21:38:27.998Z,throughput,noop,validated,7,2,4,64,100000,100000,100000,0,73169300,5000,59300,73233700,1365491.570138,2773.279,2000,7600,100,566000,46634.850,49200,57200,100000,137372700,416100,42579,100002,96460400,265600,31819,49470,106887200,565300,1886,2237700,203500,49470,1886,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,8914,103,200000,59.058570,0,64,3417,57593,2605100,8219600,10824700,0.010580000,0,standard,true
