scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,77312800,100,3916900,2000,7400
throughput,1,1,25000,25000,0,82568000,100,2441500,1800,8600
throughput,1,2,25000,25000,0,80815900,0,2656900,1900,8900
throughput,1,3,25000,25000,0,67945800,100,1549100,1800,7000
throughput,2,0,25000,25000,0,71295000,100,401800,1900,7500
throughput,2,1,25000,25000,0,72459600,100,1694800,1800,7100
throughput,2,2,25000,25000,0,71316800,100,740200,1900,7300
throughput,2,3,25000,25000,0,69799200,100,1124500,1900,7400
throughput,3,0,25000,25000,0,62167200,0,962800,1700,6600
throughput,3,1,25000,25000,0,64152800,100,1086900,1700,6800
throughput,3,2,25000,25000,0,64550100,100,1444900,1600,6700
throughput,3,3,25000,25000,0,59261800,100,238400,1600,6700
throughput,4,0,25000,25000,0,65270100,0,2018900,1500,6400
throughput,4,1,25000,25000,0,68000800,0,3336200,1300,6400
throughput,4,2,25000,25000,0,60870400,100,959000,1500,6300
throughput,4,3,25000,25000,0,62532200,100,578800,1500,7000
throughput,5,0,25000,25000,0,61616100,100,871100,1700,6800
throughput,5,1,25000,25000,0,62485800,100,1255400,1600,6800
throughput,5,2,25000,25000,0,65111400,0,996900,1600,7400
throughput,5,3,25000,25000,0,60535600,100,377700,1700,6800
throughput,6,0,25000,25000,0,69253400,100,4449400,1800,6800
throughput,6,1,25000,25000,0,69032700,100,911200,1800,7200
throughput,6,2,25000,25000,0,65527100,100,832500,1800,6600
throughput,6,3,25000,25000,0,66675000,100,742000,1800,6900
throughput,7,0,25000,25000,0,64264400,100,1975700,1500,6500
throughput,7,1,25000,25000,0,62733000,0,1471500,1500,6300
throughput,7,2,25000,25000,0,64339900,0,3695600,1400,6100
throughput,7,3,25000,25000,0,59756200,100,1424000,1500,6200
