scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,23685,23685,1377,3723300,52031500,385700,3249300,3635000,0.236850000
throughput,1,1,24538,24538,1378,3991200,52534300,415800,3354200,3770000,0.245380000
throughput,1,2,25952,25952,1542,5774900,51068700,430700,2934700,3365400,0.259520000
throughput,1,3,25825,25825,1408,4681000,51893500,427100,3032600,3459700,0.258250000
throughput,2,0,24864,24864,863,2086000,46156000,424000,3469300,3893300,0.248640000
throughput,2,1,21973,21973,909,2489000,38265400,366600,3482800,3849400,0.219730000
throughput,2,2,27380,27380,1141,2387000,43662700,469800,3542200,4012000,0.273800000
throughput,2,3,25783,25783,1123,2404300,44962800,422300,3563200,3985500,0.257830000
throughput,3,0,30591,30591,1072,3155000,45341700,510100,5871900,6382000,0.305910000
throughput,3,1,23836,23836,695,2614300,43206300,413400,4029700,4443100,0.238360000
throughput,3,2,20062,20062,988,3044100,45039600,356900,2930900,3287800,0.200620000
throughput,3,3,25511,25511,944,3242800,41681900,428200,10187700,10615900,0.255110000
throughput,4,0,25822,25822,1107,3056200,51453300,423600,4151000,4574600,0.258220000
throughput,4,1,24004,24004,883,3627400,50233000,400500,3364200,3764700,0.240040000
throughput,4,2,26646,26646,984,3288600,49797900,459800,3687500,4147300,0.266460000
throughput,4,3,23528,23528,1136,5387500,52009000,380800,2798900,3179700,0.235280000
throughput,5,0,23135,23135,2564,9526400,46919700,391300,8307500,8698800,0.231350000
throughput,5,1,27962,27962,2979,8008300,51028000,662100,3193000,3855100,0.279620000
throughput,5,2,25376,25376,2748,9022300,51941600,437300,3080800,3518100,0.253760000
throughput,5,3,23527,23527,2734,13888600,47988100,398300,2923200,3321500,0.235270000
throughput,6,0,25899,25899,400,1190900,44380300,551200,4055200,4606400,0.258990000
throughput,6,1,25136,25136,311,3083300,43285800,419200,3072800,3492000,0.251360000
throughput,6,2,22357,22357,398,2880900,44046500,373400,2925800,3299200,0.223570000
throughput,6,3,26608,26608,433,1123400,45163600,444700,3205900,3650600,0.266080000
throughput,7,0,22287,22287,807,2059500,44460200,354800,2935100,3289900,0.222870000
throughput,7,1,26051,26051,886,3342400,43337800,426700,3300800,3727500,0.260510000
throughput,7,2,25811,25811,788,2096000,43182500,443600,3802300,4245900,0.258110000
throughput,7,3,25851,25851,852,2153500,44872300,423300,3581300,4004600,0.258510000
