scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,69988600,100,228900,2600,6600
throughput,1,1,25000,25000,0,68360100,100,216200,2500,6400
throughput,1,2,25000,25000,0,69296200,100,194700,2600,6000
throughput,1,3,25000,25000,0,69671000,100,419200,2500,6400
throughput,2,0,25000,25000,0,61433400,100,157900,2300,5800
throughput,2,1,25000,25000,0,66805100,100,196600,2400,6400
throughput,2,2,25000,25000,0,67916700,100,333100,2300,6800
throughput,2,3,25000,25000,0,67637100,200,117800,2400,6500
throughput,3,0,25000,25000,0,66502600,100,148700,2300,6700
throughput,3,1,25000,25000,0,63700000,100,528500,2300,6100
throughput,3,2,25000,25000,0,66021200,100,1045200,2300,6400
throughput,3,3,25000,25000,0,58326500,100,487800,2200,5700
throughput,4,0,25000,25000,0,67547700,100,224100,2500,6000
throughput,4,1,25000,25000,0,66818000,200,217000,2500,5800
throughput,4,2,25000,25000,0,65185400,100,126300,2500,5800
throughput,4,3,25000,25000,0,68178000,0,404400,2500,6300
throughput,5,0,25000,25000,0,69362100,100,305800,2500,6500
throughput,5,1,25000,25000,0,70335700,100,156400,2600,6700
throughput,5,2,25000,25000,0,70806800,100,189400,2500,6900
throughput,5,3,25000,25000,0,70127400,100,411400,2600,6500
throughput,6,0,25000,25000,0,58308900,100,162800,1900,6200
throughput,6,1,25000,25000,0,66772000,100,128000,1800,8500
throughput,6,2,25000,25000,0,64249800,100,238500,2000,7000
throughput,6,3,25000,25000,0,65180300,100,92400,2000,7400
throughput,7,0,25000,25000,0,74349900,100,580000,2300,8400
throughput,7,1,25000,25000,0,71963300,100,266700,2300,7900
throughput,7,2,25000,25000,0,74201300,100,390800,2200,8400
throughput,7,3,25000,25000,0,64589200,100,209300,2000,7200
