timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,enqueue_lock_attempts,enqueue_lock_wait_ns,enqueue_lock_max_wait_ns,enqueue_inferred_contended,dequeue_lock_attempts,dequeue_lock_wait_ns,dequeue_lock_max_wait_ns,dequeue_inferred_contended,enqueue_wait_count,enqueue_wait_total_ns,enqueue_wait_max_ns,dequeue_wait_count,dequeue_wait_total_ns,dequeue_wait_max_ns,queue_full_observations,queue_empty_observations,not_empty_signals,not_full_signals,shutdown_broadcasts,avoided_not_empty_signals,avoided_not_full_signals,not_empty_signals_per_task,not_full_signals_per_task,total_signals_per_task,enqueue_predicate_false_wakeups,dequeue_predicate_false_wakeups,occupancy_sample_count,occupancy_event_mean,occupancy_min,occupancy_max,occupancy_zero_observations,occupancy_full_observations,callback_compute_total_ns,callback_accounting_total_ns,callback_combined_total_ns,worker_task_cv,zero_task_workers,accounting_mode,correctness_passed
2026-07-28T21:38:46.198Z,throughput,noop,validated,1,4,4,1,100000,100000,100000,0,177364100,6800,80800,177451700,563533.626333,6932.051,2700,38100,100,2787800,7892.984,3300,43300,100000,178887000,440200,46578,100004,184201300,891200,47771,52906,456101200,2786800,42339,437552200,1156600,52906,42339,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,9193,5584,200000,0.500000,0,1,100000,100000,1917300,17955800,19873100,0.016492277,0,standard,true
2026-07-28T21:38:46.382Z,throughput,noop,validated,2,4,4,1,100000,100000,100000,0,170243600,6700,75400,170325700,587110.459549,6653.924,2700,42300,100,1246600,7557.198,3200,47700,100000,177302300,852000,48094,100004,172498100,409900,46449,52466,437798200,1239600,47725,438532500,1015800,52466,47725,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,9381,7877,200000,0.500000,0,1,100000,100000,1871900,11357200,13229100,0.062547595,0,standard,true
2026-07-28T21:38:46.598Z,throughput,noop,validated,3,4,4,1,100000,100000,100000,0,197149300,11100,104900,197265400,506931.271272,7717.078,3100,42400,100,1031500,8704.497,3600,47700,100000,191595100,927500,51184,100004,184176600,841600,48883,53868,525462900,819700,55525,529590900,1292700,53868,55525,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,8817,8830,200000,0.500000,0,1,100000,100000,1948100,11577900,13526000,0.025636958,0,standard,true
2026-07-28T21:38:46.830Z,throughput,noop,validated,4,4,4,1,100000,100000,100000,0,217247900,7900,76700,217332500,460124.463667,8503.331,3200,43300,100,1279100,9628.845,3700,48900,100000,185549800,1016900,49565,100004,180734700,1395400,46727,56400,607134400,1277200,53834,610914800,1401000,56400,53834,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,9391,8062,200000,0.500000,0,1,100000,100000,1992000,12505600,14497600,0.027764769,0,standard,true
2026-07-28T21:38:46.964Z,throughput,noop,validated,5,4,4,1,100000,100000,100000,0,111147800,6500,77900,111232200,899020.247734,4321.576,2700,11600,100,1201800,4896.619,3300,12100,100000,201055300,441600,54387,100004,200713600,848800,54073,51003,189811300,1098500,51396,184351000,1053100,51003,51396,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,10333,9417,200000,0.500000,0,1,100000,100000,1767800,11399600,13167400,0.021654505,0,standard,true
2026-07-28T21:38:47.131Z,throughput,noop,validated,6,4,4,1,100000,100000,100000,0,165296200,8400,95800,165400400,604593.459266,6528.140,2600,42300,100,3122000,7398.209,3100,47600,100000,144732700,574800,41082,100004,163772200,364200,46537,58715,455519700,3119900,51038,426900000,1112800,58715,51038,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,11441,8264,200000,0.500000,0,1,100000,100000,1834400,11333100,13167500,0.004735990,0,standard,true
2026-07-28T21:38:47.297Z,throughput,noop,validated,7,4,4,1,100000,100000,100000,0,147161500,6900,80200,147248600,679123.604571,5817.864,2500,38400,100,739900,6576.308,2900,43800,100000,144699700,739200,40033,100004,162903100,1223300,44703,55931,383365500,690000,49400,362172700,1192000,55931,49400,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,11413,8057,200000,0.500000,0,1,100000,100000,1775800,10903900,12679700,0.025869349,0,standard,true
