timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,enqueue_lock_attempts,enqueue_lock_wait_ns,enqueue_lock_max_wait_ns,enqueue_inferred_contended,dequeue_lock_attempts,dequeue_lock_wait_ns,dequeue_lock_max_wait_ns,dequeue_inferred_contended,enqueue_wait_count,enqueue_wait_total_ns,enqueue_wait_max_ns,dequeue_wait_count,dequeue_wait_total_ns,dequeue_wait_max_ns,queue_full_observations,queue_empty_observations,not_empty_signals,not_full_signals,shutdown_broadcasts,avoided_not_empty_signals,avoided_not_full_signals,not_empty_signals_per_task,not_full_signals_per_task,total_signals_per_task,enqueue_predicate_false_wakeups,dequeue_predicate_false_wakeups,occupancy_sample_count,occupancy_event_mean,occupancy_min,occupancy_max,occupancy_zero_observations,occupancy_full_observations,callback_compute_total_ns,callback_accounting_total_ns,callback_combined_total_ns,worker_task_cv,zero_task_workers,accounting_mode,correctness_passed
2026-07-28T21:38:47.580Z,throughput,noop,validated,1,4,4,16,100000,100000,100000,0,70329900,13000,90700,70433800,1419772.893128,2752.286,1900,7500,100,1259700,9224.028,9100,16300,100000,209124100,466100,57383,100004,206706800,924700,55116,9316,29716100,1259100,5557,17119300,433200,9316,5557,15907,31270,2,84093,68730,0.159070000,0.312700000,0.471770000,1170,760,200000,9.066590,0,16,7865,12724,3295100,12715400,16010500,0.008764702,0,standard,true
2026-07-28T21:38:47.666Z,throughput,noop,validated,2,4,4,16,100000,100000,100000,0,71655500,10800,102800,71769100,1393357.308368,2733.671,1600,7700,100,3097400,10062.088,10000,17900,100000,182991700,918700,46833,100004,197945500,1140800,51089,15532,45287600,818100,7706,25786100,1822900,15532,7706,19961,43544,2,80039,56456,0.199610000,0.435440000,0.635050000,2157,1379,200000,10.104600,0,16,9823,20596,3398200,12500800,15899000,0.059530470,0,standard,true
2026-07-28T21:38:47.761Z,throughput,noop,validated,3,4,4,16,100000,100000,100000,0,73245200,7600,108100,73361000,1363122.094846,2846.793,1900,7700,100,1994700,9480.708,9100,17600,100000,214804300,1654900,57203,100004,196359900,1037600,52743,11184,33297200,1081000,7458,24695900,1567100,11184,7458,22035,31142,2,77965,68858,0.220350000,0.311420000,0.531770000,1563,1043,200000,8.769430,0,16,10879,14883,3273000,17780100,21053100,0.073485525,0,standard,true
2026-07-28T21:38:47.846Z,throughput,noop,validated,4,4,4,16,100000,100000,100000,0,73163800,9000,77600,73250400,1365180.258401,2820.791,1800,7600,100,5820700,8435.326,7900,16600,100000,215537200,516200,57830,100004,203810300,1615000,52617,7234,31989900,5805800,11181,29686700,866000,7234,11181,28068,34195,2,71932,65805,0.280680000,0.341950000,0.622630000,965,1631,200000,7.542160,0,16,15135,10229,3275000,12190600,15465600,0.041939719,0,standard,true
2026-07-28T21:38:47.929Z,throughput,noop,validated,5,4,4,16,100000,100000,100000,0,70442900,7700,84400,70535000,1417735.875806,2705.120,1800,7800,100,819600,10807.284,10900,17900,100000,180288600,640500,47789,100004,199019500,2166400,51505,18600,47707500,817800,5092,14208800,304600,18600,5092,9973,47632,2,90027,52368,0.099730000,0.476320000,0.576050000,2695,992,200000,11.256100,0,16,6075,26389,3178700,15009500,18188200,0.039384129,0,standard,true
2026-07-28T21:38:48.013Z,throughput,noop,validated,6,4,4,16,100000,100000,100000,0,73355000,7200,66700,73428900,1361861.610347,2872.099,2000,7900,100,1374500,9455.838,9300,17000,100000,224048500,790200,59499,100004,214316300,1384900,55464,8493,26748200,1360000,5189,17963900,890500,8493,5189,17566,27498,2,82434,72502,0.175660000,0.274980000,0.450640000,1020,686,200000,8.853280,0,16,7942,11971,3446500,13162400,16608900,0.052962847,0,standard,true
2026-07-28T21:38:48.098Z,throughput,noop,validated,7,4,4,16,100000,100000,100000,0,72362100,8400,84500,72455100,1380165.095349,2818.200,1900,7600,100,1325400,8754.107,8400,16300,100000,224061800,1324900,58802,100004,207772400,595200,54382,7689,23762200,677600,8335,23969700,415200,7689,8335,21739,23771,2,78261,76229,0.217390000,0.237710000,0.455100000,987,1243,200000,8.096710,0,16,12087,11071,3177600,13019800,16197400,0.010725036,0,standard,true
