scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,68799800,100,4256700,1600,6600
throughput,1,1,25000,25000,0,76705900,100,5632100,1700,6700
throughput,1,2,25000,25000,0,77989100,100,4176500,1700,7000
throughput,1,3,25000,25000,0,82673600,100,6161900,1600,6500
throughput,2,0,25000,25000,0,63873100,100,1767400,1600,6900
throughput,2,1,25000,25000,0,78093700,0,13051900,1100,5600
throughput,2,2,25000,25000,0,61873300,0,1544100,1500,6200
throughput,2,3,25000,25000,0,67463200,100,4396300,1300,6500
throughput,3,0,25000,25000,0,79933000,0,25155600,900,5400
throughput,3,1,25000,25000,0,68525300,100,9985000,1500,6100
throughput,3,2,25000,25000,0,64342600,100,2645700,1600,6200
throughput,3,3,25000,25000,0,66236300,0,3991900,1400,6000
throughput,4,0,25000,25000,0,52431400,100,1310100,1400,5200
throughput,4,1,25000,25000,0,71814800,100,8185700,1600,6200
throughput,4,2,25000,25000,0,59134800,100,983500,1600,6300
throughput,4,3,25000,25000,0,99878100,0,16211200,1600,4500
throughput,5,0,25000,25000,0,74623300,100,2249500,1700,7100
throughput,5,1,25000,25000,0,75097700,0,7044100,1600,6500
throughput,5,2,25000,25000,0,70297600,100,2699200,1600,6600
throughput,5,3,25000,25000,0,81793100,100,6607400,1200,6900
throughput,6,0,25000,25000,0,64984400,100,2830800,1600,6800
throughput,6,1,25000,25000,0,69544300,100,6768200,1400,6300
throughput,6,2,25000,25000,0,64324600,100,4158300,1400,6100
throughput,6,3,25000,25000,0,69294800,100,7256300,1500,6500
throughput,7,0,25000,25000,0,63104100,100,3989800,1500,6400
throughput,7,1,25000,25000,0,69819400,100,3517700,1400,6300
throughput,7,2,25000,25000,0,75810500,100,6404400,1200,6800
throughput,7,3,25000,25000,0,64783800,100,6730900,1400,6300
