scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,176459200,200,831000,2700,38100
throughput,1,1,25000,25000,0,175350400,100,2787800,2700,38100
throughput,1,2,25000,25000,0,167078700,100,794300,2700,38100
throughput,1,3,25000,25000,0,174316800,100,851800,2700,38100
throughput,2,0,25000,25000,0,158654200,100,371600,2700,42300
throughput,2,1,25000,25000,0,169385200,100,861100,2700,42300
throughput,2,2,25000,25000,0,168655600,100,1246600,2700,42300
throughput,2,3,25000,25000,0,168697400,100,852700,2800,42300
throughput,3,0,25000,25000,0,194977100,100,1014800,3200,42500
throughput,3,1,25000,25000,0,196286900,200,929900,3000,42500
throughput,3,2,25000,25000,0,185361700,200,470900,3000,42300
throughput,3,3,25000,25000,0,195082100,100,1031500,3100,42500
throughput,4,0,25000,25000,0,208087800,100,1017800,3100,43300
throughput,4,1,25000,25000,0,216333300,100,614800,3200,43300
throughput,4,2,25000,25000,0,209924100,100,520800,3100,43300
throughput,4,3,25000,25000,0,215987900,100,1279100,3200,43300
throughput,5,0,25000,25000,0,110319900,100,867700,2700,12000
throughput,5,1,25000,25000,0,108819300,100,1201800,2800,11500
throughput,5,2,25000,25000,0,103700600,200,1100600,2700,11100
throughput,5,3,25000,25000,0,109317800,100,1042300,2800,11500
throughput,6,0,25000,25000,0,164385200,100,3122000,2500,42300
throughput,6,1,25000,25000,0,161854000,100,1127900,2600,42300
throughput,6,2,25000,25000,0,163711800,100,2035800,2600,42300
throughput,6,3,25000,25000,0,162863000,100,783300,2600,42300
throughput,7,0,25000,25000,0,146269000,100,690400,2400,38400
throughput,7,1,25000,25000,0,145452100,200,244700,2500,38400
throughput,7,2,25000,25000,0,144674700,100,739900,2500,38400
throughput,7,3,25000,25000,0,145390600,100,541300,2500,38400
