scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,79806700,100,2148600,2200,6900
throughput,1,1,25000,25000,0,74091700,100,592300,2300,7100
throughput,1,2,25000,25000,0,75287000,100,883800,2300,7000
throughput,1,3,25000,25000,0,78995300,0,1361400,2200,6900
throughput,2,0,25000,25000,0,80575600,100,964800,2300,7800
throughput,2,1,25000,25000,0,79949300,100,375000,2400,7600
throughput,2,2,25000,25000,0,78907200,100,1171200,2300,7300
throughput,2,3,25000,25000,0,78499100,100,380200,2400,7400
throughput,3,0,25000,25000,0,75671700,100,234300,2500,7100
throughput,3,1,25000,25000,0,76602200,100,361800,2500,7300
throughput,3,2,25000,25000,0,75250300,100,312400,2500,7100
throughput,3,3,25000,25000,0,76936100,100,326800,2500,7400
throughput,4,0,25000,25000,0,75858200,100,889200,2400,6800
throughput,4,1,25000,25000,0,76157700,100,363300,2400,6700
throughput,4,2,25000,25000,0,77300500,100,1308300,2400,6900
throughput,4,3,25000,25000,0,76054300,100,1219600,2400,7000
throughput,5,0,25000,25000,0,72612800,100,470700,2300,6600
throughput,5,1,25000,25000,0,72809400,100,416600,2300,7300
throughput,5,2,25000,25000,0,71299400,100,211900,2300,6800
throughput,5,3,25000,25000,0,69330900,100,348800,2200,6200
throughput,6,0,25000,25000,0,70236000,100,516700,1800,6500
throughput,6,1,25000,25000,0,78186700,100,932000,1800,6400
throughput,6,2,25000,25000,0,77324600,100,1542400,1900,6200
throughput,6,3,25000,25000,0,74762400,100,1190600,2000,6300
throughput,7,0,25000,25000,0,83968700,100,731700,2500,8100
throughput,7,1,25000,25000,0,81216600,0,379200,2400,8100
throughput,7,2,25000,25000,0,83439600,100,366500,2500,8100
throughput,7,3,25000,25000,0,84561300,0,639900,2400,8200
