scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,127383,127383,46528,398802200,332306000,4376100,37339400,41715500,0.127383000
throughput,1,1,126972,126972,46426,389929400,311325700,4377400,24608400,28985800,0.126972000
throughput,1,2,116783,116783,44426,418620500,291897900,3882700,41006600,44889300,0.116783000
throughput,1,3,136668,136668,48697,360751800,362120200,4755900,40971200,45727100,0.136668000
throughput,1,4,130058,130058,48238,387719900,348729400,4548500,26673000,31221500,0.130058000
throughput,1,5,123259,123259,47673,438012300,293234700,4139500,26466200,30605700,0.123259000
throughput,1,6,117251,117251,43584,396780300,303715600,4591400,32710800,37302200,0.117251000
throughput,1,7,121626,121626,47276,398469000,323103800,4348900,27641500,31990400,0.121626000
