scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,126766,126766,44413,365604500,343030300,4278700,33953600,38232300,0.126766000
throughput,1,1,121326,121326,45648,347632400,313206700,3939200,58625600,62564800,0.121326000
throughput,1,2,133474,133474,46175,371707500,328260500,8377000,45943600,54320600,0.133474000
throughput,1,3,123642,123642,43539,347034500,353875800,4032800,33985100,38017900,0.123642000
throughput,1,4,120693,120693,42288,391950700,321919300,3971000,34000500,37971500,0.120693000
throughput,1,5,126187,126187,45429,378378000,324489900,4034800,20265100,24299900,0.126187000
throughput,1,6,124024,124024,44913,421102800,284704300,4076600,25986400,30063000,0.124024000
throughput,1,7,123888,123888,41833,366736900,326123300,4185800,39134500,43320300,0.123888000
