scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,136924,136924,45141,344465300,350265800,4598000,46745600,51343600,0.136924000
throughput,1,1,119848,119848,44227,405323000,307067700,7995000,47763800,55758800,0.119848000
throughput,1,2,106586,106586,40651,414891900,302816500,3605900,53082900,56688800,0.106586000
throughput,1,3,152756,152756,44702,358879900,334966000,5564600,57310700,62875300,0.152756000
throughput,1,4,122357,122357,42369,355537900,348473100,4257900,54341800,58599700,0.122357000
throughput,1,5,132488,132488,44130,332280500,315247600,8124000,40119100,48243100,0.132488000
throughput,1,6,116503,116503,41469,391688000,305182000,3890300,44641900,48532200,0.116503000
throughput,1,7,112538,112538,39865,377754800,336092200,10446900,31348000,41794900,0.112538000
