timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,enqueue_lock_attempts,enqueue_lock_wait_ns,enqueue_lock_max_wait_ns,enqueue_inferred_contended,dequeue_lock_attempts,dequeue_lock_wait_ns,dequeue_lock_max_wait_ns,dequeue_inferred_contended,enqueue_wait_count,enqueue_wait_total_ns,enqueue_wait_max_ns,dequeue_wait_count,dequeue_wait_total_ns,dequeue_wait_max_ns,queue_full_observations,queue_empty_observations,not_empty_signals,not_full_signals,shutdown_broadcasts,avoided_not_empty_signals,avoided_not_full_signals,not_empty_signals_per_task,not_full_signals_per_task,total_signals_per_task,enqueue_predicate_false_wakeups,dequeue_predicate_false_wakeups,occupancy_sample_count,occupancy_event_mean,occupancy_min,occupancy_max,occupancy_zero_observations,occupancy_full_observations,callback_compute_total_ns,callback_accounting_total_ns,callback_combined_total_ns,worker_task_cv,zero_task_workers,accounting_mode,correctness_passed
2026-07-28T21:38:36.094Z,throughput,light_cpu,validated,1,4,4,64,100000,100000,100000,0,83443900,12400,109000,83565300,1196668.952304,3086.425,1900,8000,0,3916900,45754.427,51600,72100,100000,194356900,2653600,51865,100004,192943600,14749200,47210,26808,80181600,3915500,6075,20907200,4486800,26808,6075,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,4280,1138,200000,49.074680,0,64,7905,33119,54202700,14244900,68447600,0.266924896,0,standard,true
2026-07-28T21:38:36.223Z,throughput,light_cpu,validated,2,4,4,64,100000,100000,100000,0,73228300,8400,80300,73317000,1363940.150306,2848.706,1900,7300,100,1694800,42185.794,43800,56400,100000,208309600,713100,57198,100004,193662000,1558000,50039,13058,43090400,1691600,2219,6212600,360800,13058,2219,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,1700,427,200000,52.898060,0,64,2658,17294,32296900,13652100,45949000,0.047834105,0,standard,true
2026-07-28T21:38:36.338Z,throughput,light_cpu,validated,3,4,4,64,100000,100000,100000,0,65380400,170900,148900,65700300,1522063.065161,2501.319,1600,6700,0,1444900,39052.213,41300,52200,100000,159276500,961300,46153,100004,156967300,2582500,43008,22699,55705900,1357300,2115,9269000,826100,22699,2115,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,3275,406,200000,55.176620,0,64,2940,28144,40036600,14890600,54927200,0.077092718,0,standard,true
2026-07-28T21:38:36.448Z,throughput,light_cpu,validated,4,4,4,64,100000,100000,100000,0,68869200,110100,60300,69039700,1448441.983381,2566.735,1500,6500,0,3336200,36368.181,41000,55300,100000,166656500,1814200,44529,100004,158245400,2326400,41229,17080,51228400,3335200,6171,22776500,1004500,17080,6171,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,2233,1279,200000,49.072030,0,64,7602,26795,34677000,16424300,51101300,0.048767752,0,standard,true
2026-07-28T21:38:36.557Z,throughput,light_cpu,validated,5,4,4,64,100000,100000,100000,0,65908700,8000,80200,65996900,1515222.684702,2497.489,1600,6900,0,1255400,38384.716,41000,53500,100000,160551300,1254900,44751,100004,162701300,669200,45781,18569,47051200,996100,3329,7979000,294500,18569,3329,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,2629,801,200000,53.716990,0,64,3795,23241,32793700,13812800,46606500,0.048211642,0,standard,true
2026-07-28T21:38:36.674Z,throughput,light_cpu,validated,6,4,4,64,100000,100000,100000,0,70076100,8400,76300,70160800,1425297.317020,2704.882,1800,6900,100,4449400,38759.979,41500,57800,100000,202984900,4448300,56505,100004,187127000,2326900,48568,13571,36894900,831900,2797,9842300,814400,13571,2797,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,1716,467,200000,50.828670,0,64,3779,17983,32041300,14174500,46215800,0.063325148,0,standard,true
2026-07-28T21:38:36.773Z,throughput,light_cpu,validated,7,4,4,64,100000,100000,100000,0,65212600,25900,104300,65342800,1530390.494439,2510.935,1500,6300,0,3695600,36682.323,39700,53600,100000,154625300,3694000,42143,100004,156029200,1902800,40886,21943,61750200,1470700,2602,11592400,1129900,21943,2602,100000,100000,2,0,0,1.000000000,1.000000000,2.000000000,3060,495,200000,51.550990,0,64,3836,28206,32082200,17371100,49453300,0.029858747,0,standard,true
