scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,58818200,100,211500,1600,6700
throughput,1,1,25000,25000,0,60832700,100,631800,1500,7000
throughput,1,2,25000,25000,0,61124200,100,1343300,1600,6900
throughput,1,3,25000,25000,0,59198500,100,415200,1600,6800
throughput,2,0,25000,25000,0,62842100,100,1203000,1800,6200
throughput,2,1,25000,25000,0,60989200,100,1225300,1700,5900
throughput,2,2,25000,25000,0,64154500,100,2092300,1700,6600
throughput,2,3,25000,25000,0,59066500,0,425100,1700,6100
throughput,3,0,25000,25000,0,57702600,100,986200,1500,6600
throughput,3,1,25000,25000,0,57372900,100,810400,1400,6500
throughput,3,2,25000,25000,0,59912000,100,2883500,1300,6800
throughput,3,3,25000,25000,0,56951000,100,825400,1400,6700
throughput,4,0,25000,25000,0,60084500,100,1118300,1600,6600
throughput,4,1,25000,25000,0,62147100,0,410800,1600,7100
throughput,4,2,25000,25000,0,66631500,100,2064000,1600,7000
throughput,4,3,25000,25000,0,67916600,100,7877600,1500,6700
throughput,5,0,25000,25000,0,70821200,100,4630400,1600,7100
throughput,5,1,25000,25000,0,73631100,100,3776900,1600,7500
throughput,5,2,25000,25000,0,72142300,100,1248300,1800,7300
throughput,5,3,25000,25000,0,69440600,100,3301900,1700,7300
throughput,6,0,25000,25000,0,66084500,100,352700,1900,6700
throughput,6,1,25000,25000,0,66812900,100,928900,1900,6900
throughput,6,2,25000,25000,0,64339400,100,490300,1800,6600
throughput,6,3,25000,25000,0,66072900,100,922100,1800,6400
throughput,7,0,25000,25000,0,68042400,100,2069700,1600,6800
throughput,7,1,25000,25000,0,60772200,100,309600,1600,6900
throughput,7,2,25000,25000,0,69030500,100,4023800,1400,6700
throughput,7,3,25000,25000,0,63094400,100,1516800,1700,6900
