timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,enqueue_lock_attempts,enqueue_lock_wait_ns,enqueue_lock_max_wait_ns,enqueue_inferred_contended,dequeue_lock_attempts,dequeue_lock_wait_ns,dequeue_lock_max_wait_ns,dequeue_inferred_contended,enqueue_wait_count,enqueue_wait_total_ns,enqueue_wait_max_ns,dequeue_wait_count,dequeue_wait_total_ns,dequeue_wait_max_ns,queue_full_observations,queue_empty_observations,not_empty_signals,not_full_signals,shutdown_broadcasts,avoided_not_empty_signals,avoided_not_full_signals,not_empty_signals_per_task,not_full_signals_per_task,total_signals_per_task,enqueue_predicate_false_wakeups,dequeue_predicate_false_wakeups,occupancy_sample_count,occupancy_event_mean,occupancy_min,occupancy_max,occupancy_zero_observations,occupancy_full_observations,callback_compute_total_ns,callback_accounting_total_ns,callback_combined_total_ns,worker_task_cv,zero_task_workers,accounting_mode,correctness_passed
2026-07-28T21:38:26.599Z,throughput,noop,validated,1,2,4,64,100000,100000,100000,0,67198000,4000,50500,67252600,1486931.360275,2524.555,1800,7300,0,132000,43424.887,45200,53200,100000,130172300,41300,40680,100002,86274400,118700,27214,44987,91432600,131100,1406,1586700,228900,44987,1406,3672,79319,2,96328,20681,0.036720000,0.793190000,0.829910000,8358,102,200000,60.111910,0,64,3621,58979,2764500,8640900,11405400,0.052980000,0,standard,true
2026-07-28T21:38:26.683Z,throughput,noop,validated,2,2,4,64,100000,100000,100000,0,65713900,5300,52100,65771400,1520417.689148,2461.714,1800,6800,0,570400,42960.408,44000,50900,100000,97499500,568900,30597,100002,81216400,553400,26481,59063,114316000,370000,1239,1147700,200200,59063,1239,2737,88416,2,97263,11584,0.027370000,0.884160000,0.911530000,11470,106,200000,60.748330,0,64,2713,62091,2666900,8753300,11420200,0.054080000,0,standard,true
2026-07-28T21:38:26.852Z,throughput,noop,validated,3,2,4,64,100000,100000,100000,0,164877800,5400,67800,164951100,606240.273633,6210.750,1500,6200,0,77630500,98309.185,49800,62100,100000,116253400,9197400,23400,100002,105688300,18490400,17364,54841,465132500,21054400,2165,83665800,17095000,54841,2165,8381,86070,2,91619,13930,0.083810000,0.860700000,0.944510000,11818,270,200000,58.796730,0,64,4011,69540,52303400,8314800,60618200,0.342600000,0,standard,true
2026-07-28T21:38:26.936Z,throughput,noop,validated,4,2,4,64,100000,100000,100000,0,63801100,5500,48100,63854800,1566052.982705,2469.328,1800,6800,100,618900,41548.586,42600,50000,100000,109597200,390000,34046,100002,78459900,206200,24439,51523,102489100,617400,749,1473500,231200,51523,749,1846,84601,2,98154,15399,0.018460000,0.846010000,0.864470000,9456,86,200000,60.552760,0,64,1659,60549,2826600,8662600,11489200,0.062220000,0,standard,true
2026-07-28T21:38:27.016Z,throughput,noop,validated,5,2,4,64,100000,100000,100000,0,67692000,4200,52000,67748200,1476053.976342,2646.062,2000,6800,100,592200,45132.681,45100,52200,100000,95056900,242200,30951,100002,80474800,623400,26600,67031,130358600,514600,178,737100,248200,67031,178,470,93963,2,99530,6037,0.004700000,0.939630000,0.944330000,14020,24,200000,62.406330,0,64,430,68068,2976500,9493700,12470200,0.002520000,0,standard,true
2026-07-28T21:38:27.102Z,throughput,noop,validated,6,2,4,64,100000,100000,100000,0,72261300,4500,55000,72320800,1382728.067167,2821.827,2100,7400,0,605700,47928.845,48300,56600,100000,122913800,402300,39264,100002,92730200,285300,31069,59105,125204000,457600,406,1010800,270800,59105,406,1345,90164,2,98655,9836,0.013450000,0.901640000,0.915090000,11834,41,200000,61.856390,0,64,917,64895,3472100,9548800,13020900,0.008640000,0,standard,true
2026-07-28T21:38:27.183Z,throughput,noop,validated,7,2,4,64,100000,100000,100000,0,74019500,5100,59100,74083800,1349822.768271,2875.657,2200,7800,100,395100,48877.135,49500,57400,100000,117598100,323700,37415,100002,92282000,156300,30993,61007,132772500,180900,694,1214800,235700,61007,694,1371,91472,2,98629,8528,0.013710000,0.914720000,0.928430000,13373,85,200000,61.758220,0,64,1319,66985,2890200,9519000,12409200,0.004140000,0,standard,true
