scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,100000,100000,3,225900,27380200,1549900,4303300,5853200,1.000000000
throughput,2,0,100000,100000,6,367700,27700300,1475500,4286200,5761700,1.000000000
throughput,3,0,100000,100000,2,225100,27055100,1633600,5014800,6648400,1.000000000
throughput,4,0,100000,100000,2,298800,26583700,1418400,4003200,5421600,1.000000000
throughput,5,0,100000,100000,3,317500,27837800,1579800,4875700,6455500,1.000000000
throughput,6,0,100000,100000,3,313600,23213700,1424400,5669200,7093600,1.000000000
throughput,7,0,100000,100000,5,456100,31191500,1600500,5629600,7230100,1.000000000
